id,team_id,slot,discord_username,discord_id,riot_id,pr,tracker
31,1779231408521,1,imreallyjusthere,629418751711772733,sira#xxii,5,https://tracker.gg/valorant/profile/riot/sira%23XXII/overview?playlist=premier&platform=pc
32,1779231408521,2,ffr0,358646917577834496,Fro#Fr0,5,https://tracker.gg/valorant/profile/riot/Fro%23Fr0/overview?platform=pc&playlist=premier&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
33,1779231408521,3,convlr,288107760950837248,Golden Child#Merc,6,https://tracker.gg/valorant/profile/riot/Golden%20Child%23Merc/overview?playlist=premier&platform=pc
34,1779231408521,4,frorg,381870320568631299,forg#8221,0,https://tracker.gg/valorant/profile/riot/forg%238221/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
35,1779231408521,5,narwhalflow,1203453786258145412,titan14#1232,0,https://tracker.gg/valorant/profile/riot/titan14%231232/overview?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
36,1779326631889,1,impod,437472868247273484,pod#3139,5,https://tracker.gg/valorant/profile/riot/pod%233139/performance?platform=pc&playlist=competitive
37,1779326631889,2,anderlost,747640774853918760,Ander#Letme,5,https://tracker.gg/valorant/profile/riot/Ander%23Letme/performance?platform=pc&playlist=competitive
38,1779326631889,3,varyiant,538557454934343681,AWM variant#9385,3,https://tracker.gg/valorant/profile/riot/AWM%20variant%239385/performance?platform=pc&playlist=competitive
39,1779326631889,4,kingston60,843530447102935070,KingR39#7435,2,https://tracker.gg/valorant/profile/riot/KingR39%237435/performance?platform=pc&playlist=competitive
40,1779326631889,5,alwaysyourfault,504146125096353793,BrokenCamera99#CHEEZ,0,https://tracker.gg/valorant/profile/riot/BrokenCamera99%23CHEEZ/performance?platform=pc&playlist=competitive
41,1779328640228,1,haaj,616814483947651073,haaj#yona,2,https://tracker.gg/valorant/profile/riot/haaj%23yona/performance?platform=pc&playlist=competitive
42,1779328640228,2,littlebeo927,1305653170768445621,bobbysauce#mild,4,https://tracker.gg/valorant/profile/riot/bobbysauce%23mild/performance?platform=pc&playlist=competitive
43,1779328640228,3,noahet,525461935492169728,Joyboy#nzs,5,https://tracker.gg/valorant/profile/riot/Joyboy%23nzs/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
44,1779328640228,4,citruskungpao,210270291174227970,CitrusKungPao#NoOrg,4,https://tracker.gg/valorant/profile/riot/CitrusKungPao%23NoOrg/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
45,1779328640228,5,mrvietname,1182799456131895450,FortniteEnjoyer#4549,1,https://tracker.gg/valorant/profile/riot/FortniteEnjoyer%234549/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
46,1779333216047,1,very_unsmart,998973487450435604,Free Kill#sucks,1,https://tracker.gg/valorant/profile/riot/Free%20Kill%23sucks/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
47,1779333216047,2,.gier,380182621335846917,gier#777,3,https://tracker.gg/valorant/profile/riot/gier%23777/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
48,1779333216047,3,eastcoastmatt_17723,1242242669724569802,EastCoastMatt#Bills,5,https://tracker.gg/valorant/profile/riot/EastCoastMatt%23Bills/performance?platform=pc&playlist=competitive
49,1779333216047,4,frankie306,992242795614052393,xeno#3332,3,https://tracker.gg/valorant/profile/riot/xeno%233332/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
50,1779333216047,5,brad_2810,852182036058996736,Brad#8563,4,https://tracker.gg/valorant/profile/riot/Brad%238563/performance?platform=pc&playlist=competitive
51,1779411330338,1,jayisrod,247191177080602626,sugimoto#NA1,3,https://tracker.gg/valorant/profile/riot/sugimoto%23NA1/overview?platform=pc&playlist=competitive&season=9d85c932-4820-c060-09c3-668636d4df1b
52,1779411330338,2,DipInChocolate,411305130609344514,DipInChocolate#1007,5,https://tracker.gg/valorant/profile/riot/DipInChocolate%231007/overview?platform=pc&playlist=competitive&season=9d85c932-4820-c060-09c3-668636d4df1b
53,1779411330338,3,.Dimi1,479422946025144330,Glory#idk,7,https://tracker.gg/valorant/profile/riot/Glory%23idk/overview?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
54,1779411330338,4,apmoberg,581533085582229555,apmoberg#NA1,0,https://tracker.gg/valorant/profile/riot/apmoberg%23NA1/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
55,1779411330338,5,67femboy.lover67,707470020380459030,BigDaddyMason69#6969,0,https://tracker.gg/valorant/profile/riot/BigDaddyMason69%236969/overview?platform=pc&playlist=competitive&season=3ea2b318-423b-cf86-25da-7cbb0eefbe2d
56,1779418525537,1,blackpheneix,1017962655736156210,Enuxio#789,2,https://tracker.gg/valorant/profile/riot/Enuxio%23789/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
57,1779418525537,2,dangtan14,712852020528152617,Reshiram#Beep,2,https://tracker.gg/valorant/profile/riot/Reshiram%23Beep/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
58,1779418525537,3,natelb3,450829760117866510,nate#valo,5,https://tracker.gg/valorant/profile/riot/nate%23valo/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
59,1779418525537,4,dilligent12,718239639428923392,Ryoiki tenkai#doug,4,https://tracker.gg/valorant/profile/riot/Ryoiki%20tenkai%23doug/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
60,1779418525537,5,mackerelfishy.,1336124129602048020,tikki#kwami,3,https://tracker.gg/valorant/profile/riot/tikki%23kwami/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
61,1779505647439,1,fralve,350855477158215681,Fralve#womp,5,https://tracker.gg/valorant/profile/riot/Fralve%23womp/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
62,1779505647439,2,depeaa,614231019301634059,dep#high,4,https://tracker.gg/valorant/profile/riot/dep%23high/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
63,1779505647439,3,clawsator,371076310963060738,CLAWS#ATOR,6,https://tracker.gg/valorant/profile/riot/CLAWS%23ATOR/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
64,1779505647439,4,enyarjaja,308789272893325314,ikeabear#SKOG,0,https://tracker.gg/valorant/profile/riot/ikeabear%23SKOG/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
65,1779505647439,5,mikkitw,215921723684421642,MikkitW#ttv,1,https://tracker.gg/valorant/profile/riot/MikkitW%23ttv/performance?platform=pc&playlist=dodgeball&season=9d85c932-4820-c060-09c3-668636d4df1b
66,1779733275824,1,solarsour,917574540484304927,NMD gonggi#stone,5,https://tracker.gg/valorant/profile/riot/NMD%20gonggi%23stone/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
67,1779733275824,2,mittzyyy,381854546705645578,NMD Mittzyyyy#7863,5,https://tracker.gg/valorant/profile/riot/NMD%20Mittzyyyy%237863/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
68,1779733275824,3,jun.kim7,1133217129697648720,NMD June#77777,5,https://tracker.gg/valorant/profile/riot/NMD%20June%2377777/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
69,1779733275824,4,chickin890,795420575886606356,NMD FLUX#Zoom,0,https://tracker.gg/valorant/profile/riot/NMD%20FLUX%23Zoom/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
70,1779733275824,5,colourized,804160001017905192,NMD Nykk#007,1,https://tracker.gg/valorant/profile/riot/NMD%20Nykk%23007/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
71,1779749576518,1,penguin_0z,268104112598417408,Penguin#P0LAR,3,https://tracker.gg/valorant/profile/riot/Penguin%23P0LAR/overview?platform=pc&playlist=competitive
72,1779749576518,2,cthien,395068928759693312,Cheezie#0402,5,https://tracker.gg/valorant/profile/riot/Cheezie%230402/overview?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
73,1779749576518,3,vlooshies,813436735182078012,vlooshies#2138,5,https://tracker.gg/valorant/profile/riot/vlooshies%232138/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
74,1779749576518,4,zk_ghost,598634417337925684,Ghost#J515,2,https://tracker.gg/valorant/profile/riot/Ghost%23J515/performance?platform=pc&playlist=competitive&season=9d85c932-4820-c060-09c3-668636d4df1b
75,1779749576518,5,jackson_val,1104117035677520025,ENVY canezerra 2#rank,1,https://tracker.gg/valorant/profile/riot/ENVY%20canezerra%202%23rank/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
76,1779773665162,1,psi_pkchu,676487579176140855,Pka#chyu,4,https://tracker.gg/valorant/profile/riot/Pka%23chyu/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
